Date,06EAP-138,06LAA-138,06RRD-138,07IVY-230,07OMS-230,09LBR-230
11/5/2016,547.4216667,554.508125,549.0808333,421.4479167,436.8979167,651.0008333
11/6/2016,404.54625,408.6720833,408.8095833,426.4328,436.4852,515.3816667
11/7/2016,891.5904167,902.5989583,903.49,492.7416667,506.9954167,1047.219167
11/8/2016,843.391875,854.4641667,852.5170833,531.42625,547.4733333,978.87375
11/9/2016,713.6227083,720.798125,677.1310417,525.6316667,542.8925,875.16625
11/10/2016,697.2658333,703.48375,662.7416667,530.6675,548.4020833,846.1079167
11/11/2016,680.6583333,684.2366667,618.7952083,546.82375,564.675,810.8316667
11/12/2016,503.11,506.0322917,470.955,529.8516667,539.3533333,672.0191667
11/13/2016,351.1866667,354.0233333,341.8958333,517.365,525.1395833,436.9775
11/14/2016,501.1675,505.8614583,488.0708333,767.525,777.01875,596.3879167
11/15/2016,513.1408333,517.7295833,502.6270833,480.0808333,484.7316667,608.52125
11/16/2016,540.83125,545.9214583,522.5645833,572.62,580.92,667.8466667
11/17/2016,552.2429167,554.6285417,505.3804167,466.8075,473.585,689.0804167
11/18/2016,587.2766667,593.8327083,588.9041667,579.34125,588.2204167,727.7179167
11/19/2016,553.98625,554.8964583,521.38875,418.5808333,423.4045833,638.1733333
11/20/2016,424.5241667,425.1235417,401.6904167,519.11125,522.9520833,493.6920833
11/21/2016,522.84125,526.58375,515.7604167,438.0329167,441.5895833,604.4533333
11/22/2016,579.0666667,583.0677083,569.6525,500.5904167,506.3166667,683.8
11/23/2016,625.325,631.2214583,613.9077083,625.2879167,634.5216667,717.9925
11/24/2016,606.5375,610.6789583,605.5604167,555.5345833,562.9120833,714.7595833
11/25/2016,561.6420833,566.5270833,560.2108333,545.26875,565.4383333,672.4645833
11/26/2016,526.7408333,531.0577083,517.0433333,550.3275,571.7641667,616.1833333
11/27/2016,427.975,431.1808333,422.635,509.0154167,523.6025,506.2258333
11/28/2016,726.8516667,733.370625,709.61125,537.4854167,557.18125,1038.041667
11/29/2016,602.4910417,611.3927083,593.5258333,601.8358333,627.015,1079.192917
11/30/2016,474.3379167,479.66,469.6020833,689.6558333,716.6020833,967.8145833
12/1/2016,399.5383333,401.1764583,387.1341667,574.8629167,593.5745833,942.4825
12/2/2016,524.0920833,524.7979167,516.4333333,686.6408333,710.0666667,906.1504167
